ID	100UNCULTURED_S7_PE_profile_order	14UNCULTURED_S8_PE_profile_order	18UNCULTURED_S12_PE_profile_order	19UNCULTURED_S14_PE_profile_order	24UNCULTURED_S3_PE_profile_order	26UNCULTURED_S4_PE_profile_order	28UNCULTURED_S6_PE_profile_order	2UNCULTURED_S1_PE_profile_order	300UNCULTURED_S9_PE_profile_order	36UNCULTURED_S10_PE_profile_order	400UNCULTURED_S11_PE_profile_order	40UNCULTURED_S15_PE_profile_order	4UNCULTURED_S2_PE_profile_order	500UNCULTURED_S13_PE_profile_order	8UNCULTURED_S5_PE_profile_order	lucaAR31_S16_PE_profile_order	lucaAR32_S17_PE_profile_order	lucaAR33_S18_PE_profile_order	lucaAR34_S19_PE_profile_order
o__Desulfovibrionales	1.77583	0.11578	0.08435	0.18404	0.0	0.05571	1.73573	0.41894	0.0	0.16195	1.15347	1.77823	1.35716	0.08825	3.10444	0.31912	0.12261	0.1812	0.58415
o__Enterobacteriales	0.0562	0.07163	5.47339	0.06394	0.0	0.0	1.0574	0.0	0.0	4.29807	0.07867	0.0	0.72531	0.0	0.77002	0.0	0.0091	0.0	0.00627
o__Erysipelotrichales	0.01612	0.49964	7.53263	1.59059	0.70175	1.23208	2.86002	1.56275	0.1148	4.07731	0.00291	4.26154	1.8602	0.08858	4.87307	0.14177	0.03956	0.05937	0.10231
o__Hypocreales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06608	0.07553	0.06981	0.06363
o__Lactobacillales	0.0	0.0	0.0	0.0	0.16192	0.00295	0.0	0.0	0.04527	2.85224	0.0	0.03442	0.0	0.00199	0.0	0.00656	0.02198	0.0	0.02923
o__Methanobacteriales	7.88409	9.98119	12.00965	8.48471	7.62852	21.61367	0.29402	6.58951	7.68603	16.79133	7.43591	15.90007	35.86596	6.44407	0.37156	0.0	0.0	0.49943	0.0
o__Pasteurellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20728	0.0	0.0
o__Selenomonadales	18.71449	21.41346	12.372	11.36768	21.25746	3.42606	21.48821	19.59826	18.92566	6.30106	15.1151	27.12863	2.94904	18.87237	26.89065	0.0	6.8238	0.0	1.40713
o__Sordariales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02646	0.02716	0.0244	0.02118
o__Spirochaetales	0.30784	0.79499	0.00182	3.41844	1.45399	2.52164	0.0	3.97901	0.02858	0.0	0.32129	13.85424	0.75782	0.04949	0.0	0.0	0.0	0.0	0.0
o__Synergistales	0.0	0.0	0.0	0.0	0.23895	0.0	0.0	0.0	0.0	0.0	0.0	0.03749	0.0	0.0	0.0	0.0	0.0	0.0	0.0
o__Verrucomicrobiales	0.31078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13104	0.0	0.39042	0.0	0.0	0.02247	0.0	1.4685	0.0	1.44881	0.0
o__Viruses_noname	0.0	0.0	0.02423	0.0	0.0	0.0	0.0	0.17677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
o__unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
