	100UNCULTURED_S7_PE_Abundance	14UNCULTURED_S8_PE_Abundance	18UNCULTURED_S12_PE_Abundance	19UNCULTURED_S14_PE_Abundance	24UNCULTURED_S3_PE_Abundance	26UNCULTURED_S4_PE_Abundance	28UNCULTURED_S6_PE_Abundance	2UNCULTURED_S1_PE_Abundance	300UNCULTURED_S9_PE_Abundance	36UNCULTURED_S10_PE_Abundance	400UNCULTURED_S11_PE_Abundance	40UNCULTURED_S15_PE_Abundance	4UNCULTURED_S2_PE_Abundance	500UNCULTURED_S13_PE_Abundance	8UNCULTURED_S5_PE_Abundance	lucaAR31_S16_PE_Abundance	lucaAR32_S17_PE_Abundance	lucaAR33_S18_PE_Abundance	lucaAR34_S19_PE_Abundance
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0	0	7.371966114	3.797702462	0	0	0	0	0	2.739938684	0	0	7.831522987	0	0	845.5642584	761.3555332	371.0029999	1060.083374
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	3.637841988	0	0	4.210075943	94.0747169	0	0	0	0	0	0	2.130827699	136.1477962	63.49629996	131.3670566	5.607298894	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	10.87921391	0	0	0	0	2.819494307	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.2473981	114.3311496	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_goldsteinii	0	0	0	0	0	0	18.1993732	0	0	0	0	0	0	0	6.56986556	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196.5185741	95.54978314	0	530.253271
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	225.9434035	0	221.5000634	48.08398788	215.1202402	131.5775163	30.98999715	116.6489238	251.830404	122.631569	245.1786668	129.1247163	83.61758081	330.792244	72.10293005	290.4013184	199.7039721	264.7354349	69.96240562
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	29.53743025	0	0	0	0	0	0	16.27015097	0	0	0	0	0	0	0	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|g__Escherichia.s__Escherichia_coli	0	0	29.53743025	0	0	0	0	0	0	16.27015097	0	0	0	0	0	0	0	0	0
"7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.56074703	0	0	0
"7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_57FAA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.56074703	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	1.356521617	5.797121261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Escherichia.s__Escherichia_coli	0	1.356521617	5.797121261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	385.1994854	255.7934324	1137.761921	481.0134769	410.6449894	943.0319402	928.8954396	477.9172483	767.1781023	547.7633778	615.2940573	677.4501267	415.7114892	962.6893521	1077.150654	2386.879112	3221.146482	1918.047731	2989.566116
ANAEROFRUCAT-PWY: homolactic fermentation|g__Escherichia.s__Escherichia_coli	0	0	11.35563538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	234.486998	170.5240962	482.2574378	375.4747928	324.9563677	521.3518582	216.3451476	351.3374952	412.2227273	267.478052	396.0609689	331.3038462	266.3315475	633.6637363	256.3858645	312.9922978	95.64706468	421.298217	137.6547776
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	1014.168832	538.4820508	1512.808455	1000.369496	612.5828299	1100.894109	1617.360375	868.6766531	1568.278726	816.2377275	1587.888826	833.8301338	460.9582895	1403.363532	1593.839481	5289.640028	7375.810785	3918.040946	2964.626434
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Alistipes.s__Alistipes_senegalensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.390466113	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Alistipes.s__Alistipes_shahii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137.6025445	0	129.6451783	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	37.31312917	0	0	0	0	0	0	0	56.384065	149.4250055	133.3464806	105.2797077	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	7.541565921	0	0	0	69.95344587	0	0	0	0	0	0	0	73.19842693	50.00892841	129.7139914	12.35090841	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	0	0	50.00489447	0	0	0	6.78281891	0	0	16.61853244	0	0	0	0	4.92466067	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.21794834	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Odoribacter.s__Odoribacter_splanchnicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.45875097	61.39295776	38.62080159	32.83409806
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	275.9784947	517.7234289	854.5235576	613.7580173	487.6616941	818.3769519	434.3007289	606.637949	524.9900545	355.6057797	446.4155454	771.6410381	374.4610501	735.2448024	348.7474331	274.6374196	528.2069758	466.797654	102.0194634
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	322.0115057	76.81198472	733.5045642	288.2317899	197.7741937	370.4614121	272.7559615	359.7706885	412.054063	278.5555334	419.5816683	446.007996	114.2305741	494.5759633	702.1608254	36.08456562	593.3303267	58.4660744	63.22081248
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	13.58338183	0	0	0	0	0	0	14.76134321	0	0	0	0	0	0	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	72.8161635	38.19438228	108.6951798	0	0	124.0054078	0	0	113.6539917	0	166.7710172	85.05927719	62.32369663	153.5390906	164.8312598	13.98212988	0	0	35.62305063
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	0	0	51.56984748	0	0	0	0	0	0	32.07039328	0	0	0	0	0	0	0	0	0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Escherichia.s__Escherichia_coli"	0	0	29.87050289	0	0	0	0	0	0	18.95497118	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	33.48610687	19.43971375	101.0243804	49.34336195	32.24408207	97.53977746	321.4804712	69.35994663	32.38418051	68.91113772	53.91288554	62.50019358	43.12438967	68.89149643	350.6427748	5475.378239	6369.459782	2996.497218	4904.996288
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_caccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148.376632	266.6966125	65.97206961	246.375457
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	0	0	0	0	1.638837921	0	0	0	0	0	0	0	2.879712551	13.44818156	0	322.9582476	341.471711
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	9.586566501	0	0	0	0	0	0	0	4.499223896	88.65166746	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.14641924	20.11386811	132.660726	39.61258416
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_intestinalis	0	0	0	0	0	0	10.57860912	0	0	0	0	0	0	0	16.95604694	0	0	321.9110467	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_nordii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.358398342	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144.7606496	83.87788237	114.1605026	868.3929545
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2611.30658	3325.840497	0	328.593628
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.15322631	0	248.4961668	92.31801746
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0	0	5.191799209	0	0	9.528824552	0	5.908796256	0	1.462505512	7.551984368	0	4.726639786	0	0	868.8849167	760.1193836	446.0723274	1151.57678
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	13.34460946	2.649012338	0	6.180681588	112.5849133	0	0	1.332447939	0	0	0	0	141.2572028	71.88869334	128.9559016	9.80522655	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|unclassified	30.15259582	19.34933843	34.62681573	31.22647597	27.36373038	49.36037401	50.00904114	45.27013419	25.68226992	34.55547655	34.33702575	39.90728311	34.96065195	49.35372968	38.67860082	100.2169605	41.27728639	18.87671567	32.24144794
"ARGORNPROST-PWY: arginine, ornithine and proline interconversion"	0	0	0	0	0	0	0	0	0	34.71534381	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	1342.691978	58.54122075	3246.089186	480.3627891	421.0953798	697.9981938	182.616503	523.7015334	2115.700785	341.4065765	1935.161705	765.3733233	157.558282	1778.640315	2845.88185	1458.529271	2966.037117	594.2241041	1767.944276
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.11082878	52.63554885	0	62.67316854
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Blautia.s__Ruminococcus_torques	0	0	2.728655768	0	0	0	4.910813211	0	0	0	0	0	0	0	3.163850515	0	0	5.33117594	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	133.5767504	0	0	0	0	0	0	0	238.3989311	0	216.4588164	0	0	137.8572433	0	0	0	23.81121657	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Coprococcus.s__Coprococcus_catus	1.772431862	0	4.289486896	0	0	0	3.360797368	0	5.207489122	2.956410261	0	0	0	0	3.865454785	0	3.943605888	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Escherichia.s__Escherichia_coli	0	0	44.85253963	0	0	0	0	0	0	18.16486293	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Eubacterium.s__Eubacterium_siraeum	0	0	0	0	13.5352921	0	0	0	0	23.26967435	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Parasutterella.s__Parasutterella_excrementihominis	127.2245673	0	0	0	2.179455	0	0	0	229.3839962	0	220.6438131	0	0	128.8362578	0	0	0	29.7846009	124.3829607
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Ruminococcus.s__Ruminococcus_champanellensis	0	0	0	8.709495595	0	0	0	19.55458684	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Treponema.s__Treponema_succinifaciens	0	0	0	6.170636641	2.367965654	21.91906475	0	15.03979915	0	0	0	19.72422367	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	717.499143	58.31370688	106.8271374	132.7391502	0	105.1998331	0	0	1029.050635	0	948.2345725	77.75886789	85.60911835	820.8945518	363.6582679	10.51015085	0	0	30.91487001
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	882.969755	22.24174821	2548.395381	203.1151375	181.8213949	301.0102332	63.42088302	223.732198	1447.917903	133.6585143	1320.939061	337.7182124	61.9254078	1048.009584	2310.257909	661.5918812	1358.010152	236.1174674	761.7364855
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.94348335	54.78745703	0	59.80240084
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Blautia.s__Ruminococcus_torques	0	0	0	0	0	0	4.733292363	0	0	0	0	0	0	0	3.465840796	0	0	5.050551317	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	119.558656	0	0	0	0	0	0	0	217.6594053	0	198.9371241	0	0	128.7115438	0	0	0	21.16083694	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Escherichia.s__Escherichia_coli	0	0	48.58113894	0	0	0	0	0	0	17.39394054	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Eubacterium.s__Eubacterium_siraeum	0	0	0	0	14.69898282	0	0	0	0	12.38846106	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Parasutterella.s__Parasutterella_excrementihominis	125.0813956	0	0	0	2.396288564	0	0	0	219.2725389	0	211.2491014	0	0	124.0497314	0	0	0	27.09998326	113.475866
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Ruminococcus.s__Ruminococcus_champanellensis	0	0	0	6.670974439	0	0	0	18.78625423	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Treponema.s__Treponema_succinifaciens	0	0	0	8.579725996	2.98292345	26.96419632	0	17.85911646	0	0	0	24.37466773	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	419.9169257	22.21758872	33.94733177	0	0	0	0	0	636.781041	0	587.3615298	0	0	439.5980764	42.76786411	0	0	0	0
ARO-PWY: chorismate biosynthesis I	1037.958125	410.0507098	2160.372808	1344.562978	721.003304	1841.904671	2434.48314	1379.450498	1584.021178	1774.649232	1433.5679	1590.403763	756.1086993	2059.878327	1984.831148	5666.505184	10549.69249	5379.715571	9632.927166
ARO-PWY: chorismate biosynthesis I|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.23786487	0	39.62654679	0
ARO-PWY: chorismate biosynthesis I|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.96146067	0	94.48649225	0
ARO-PWY: chorismate biosynthesis I|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	5.44458895	0	0	0	0	0	0	0	0	0	0	0	0	9.46683494	9.028993474	0	0
ARO-PWY: chorismate biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.09078988	22.82622959	0	0
ARO-PWY: chorismate biosynthesis I|g__Blautia.s__Ruminococcus_gnavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.31714516
ARO-PWY: chorismate biosynthesis I|g__Blautia.s__Ruminococcus_obeum	6.629111246	0	10.6403837	0	0	0	0	0	10.46858425	6.784170695	3.535123723	3.452840403	0	20.2430047	0	4.60482102	2.875277042	5.331892805	0
ARO-PWY: chorismate biosynthesis I|g__Blautia.s__Ruminococcus_torques	0	0	2.918528165	0	0	0	0	0	0	0	0	0	0	0	0	38.07869556	3.641471385	0	23.5125558
ARO-PWY: chorismate biosynthesis I|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0	0	0	0	0	0	0	0	18.43644234	0	6.757205928	0	0	11.83908891	0	0	0	15.87289723	61.47041535
ARO-PWY: chorismate biosynthesis I|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	0	19.28295644	0	0	0	0	0	0	0	0	27.91023241	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Clostridium.s__Clostridium_clostridioforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.104423911	0	0	8.619232878
ARO-PWY: chorismate biosynthesis I|g__Clostridium.s__Clostridium_symbiosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.049278205	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Dorea.s__Dorea_formicigenerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.594685765	15.81833048
ARO-PWY: chorismate biosynthesis I|g__Dorea.s__Dorea_longicatena	0	0	12.89336848	0	0	0	15.29637571	0	4.544457725	0	0	0	0	0	7.989737102	0	19.99063163	0	222.0146345
ARO-PWY: chorismate biosynthesis I|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	0	0	85.38996716	0	0	5.402724238	36.27254743	0	0	19.74784045	0	0	0	0	37.3201231	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Escherichia.s__Escherichia_coli	0	0	37.63661232	0	0	0	7.603826507	0	0	17.66924046	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Eubacterium.s__Eubacterium_eligens	0	0	18.29808811	113.2969571	6.526276365	7.594662291	40.78102386	9.164932928	4.820912955	3.777028302	5.797531396	0	5.334243865	13.31876731	116.0943734	0	30.56417796	34.4294906	0
ARO-PWY: chorismate biosynthesis I|g__Eubacterium.s__Eubacterium_rectale	0	0	39.20685949	0	0	0	10.26321317	0	0	0	0	0	0	20.29901438	13.92596699	0	2227.446422	664.453253	1965.651932
ARO-PWY: chorismate biosynthesis I|g__Eubacterium.s__Eubacterium_siraeum	0	6.733922341	0	0	10.28970733	0	0	0	0	11.58579404	0	0	0	0	0	16.90730818	0	46.42039774	0
ARO-PWY: chorismate biosynthesis I|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.66592672	0	0
ARO-PWY: chorismate biosynthesis I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.22300131	0	0	19.0815874
ARO-PWY: chorismate biosynthesis I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_57FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.932524675	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0	0	0	0	0	0	4.598423024	0	0	0	0	0	0	0	0	0	9.275461295	8.655912117	67.14949681
ARO-PWY: chorismate biosynthesis I|g__Parasutterella.s__Parasutterella_excrementihominis	19.88882608	0	0	0	0	0	0	0	50.23457058	0	16.62254695	0	0	25.60350603	0	0	0	37.20641132	127.7114841
ARO-PWY: chorismate biosynthesis I|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	94.03853913	60.15644839	141.5390726	43.9617884	51.42760425	9.89088335	243.3199294	93.0988418	126.9484524	28.61963507	105.7064969	118.0711567	0	168.63368	250.4384452	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Roseburia.s__Roseburia_hominis	0	0	2.790648156	5.030722297	2.759123882	0	0	3.821997168	0	0	0	0	0	0	0	0	13.70839671	21.7708958	0
ARO-PWY: chorismate biosynthesis I|g__Roseburia.s__Roseburia_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.27170014	337.676785	0	0
ARO-PWY: chorismate biosynthesis I|g__Roseburia.s__Roseburia_inulinivorans	0	0	0	0	0	0	4.338652199	0	0	0	0	0	0	12.73337855	5.170112851	15.04349846	8.139281038	0	0
ARO-PWY: chorismate biosynthesis I|g__Ruminococcus.s__Ruminococcus_champanellensis	0	0	0	9.895509022	0	8.56409606	0	20.25941533	0	0	0	3.697316601	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199.7922882	43.58477071	45.50930104	299.3478992
ARO-PWY: chorismate biosynthesis I|unclassified	530.6119219	198.3739424	1354.940492	918.9405494	476.1526865	1465.36993	1403.869556	1028.083355	878.5681769	1490.083022	770.9528664	1149.075873	623.0052408	1005.653074	1088.429363	1040.421737	1274.422152	1617.364789	869.3155126
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	222.7998466	162.3077521	651.0133004	315.5763258	179.2647852	516.4718754	622.8913507	360.5945479	464.3010996	363.4144675	329.2529676	524.6744301	243.2427506	570.5558149	728.7311804	3162.86765	3475.089684	2125.877524	3132.902859
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	15.14367161	0	0	0	0	0	0	0	7.972339858	112.7139674	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	1.14187839	0	0	0	0	0	0	0	0	0	1.64659004	0	124.3016361	117.1698122	96.86172831	1013.403912
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.88495612	0	282.0545696	101.9777444
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	3.708312089	0	0	6.022017518	61.6258072	0	0	0	0	0	0	1.5546791	120.8902861	64.07095682	81.79141814	11.18527676	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	75.12445285	0	0	0	16.97808846	0	0	28.59509009	1.019367992	0	0	0	7.68977111	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	11.45543806	7.270089928	81.69450146	44.87892953	16.21030633	40.12433713	176.1083332	18.28220701	154.2522868	78.98414345	51.48047858	24.424095	1.37292284	150.9875296	113.1362194	1347.660407	1115.21364	408.4605967	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.20104472	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Odoribacter.s__Odoribacter_splanchnicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.59620645	68.55064565	57.49694315	30.07927427
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Roseburia.s__Roseburia_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.059173039	50.91590148	229.7105041	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|unclassified	117.1449766	67.31844955	238.177405	57.0875628	120.3982086	277.5348319	156.3676426	191.5579668	205.2721939	83.86585125	202.3384131	78.98722836	155.7992615	332.4328083	215.6873382	203.7414286	47.48410708	139.0808245	159.7758709
AST-PWY: L-arginine degradation II (AST pathway)	0	0	27.55895911	0	0	0	6.700637215	0	0	16.95880116	0	0	0	0	1.99559445	0	0	0	0
AST-PWY: L-arginine degradation II (AST pathway)|g__Escherichia.s__Escherichia_coli	0	0	27.55895911	0	0	0	6.700637215	0	0	16.95880116	0	0	0	0	1.99559445	0	0	0	0
