ID	100UNCULTURED_S7_PE_profile_species	14UNCULTURED_S8_PE_profile_species	18UNCULTURED_S12_PE_profile_species	19UNCULTURED_S14_PE_profile_species	24UNCULTURED_S3_PE_profile_species	26UNCULTURED_S4_PE_profile_species	28UNCULTURED_S6_PE_profile_species	2UNCULTURED_S1_PE_profile_species	300UNCULTURED_S9_PE_profile_species	36UNCULTURED_S10_PE_profile_species	400UNCULTURED_S11_PE_profile_species	40UNCULTURED_S15_PE_profile_species	4UNCULTURED_S2_PE_profile_species	500UNCULTURED_S13_PE_profile_species	8UNCULTURED_S5_PE_profile_species	lucaAR31_S16_PE_profile_species	lucaAR32_S17_PE_profile_species	lucaAR33_S18_PE_profile_species	lucaAR34_S19_PE_profile_species
s__Bacteroides_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41218	3.73815	0.0	14.26618
s__Bacteroides_xylanisolvens	0.0219	0.0	0.14044	0.07977	0.0	0.16853	0.64848	0.00658	0.0	0.06075	0.0307	0.04488	0.0	0.11268	0.35672	0.87097	0.2246	0.07166	0.0
s__Barnesiella_intestinihominis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.08831	0.0	0.52059	4.01715
s__Bifidobacterium_adolescentis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48213	9.4193	0.0
s__Bifidobacterium_animalis	0.14478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0434	0.0	0.23098	0.0	0.0	0.16937	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_longum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05408	0.80217	0.00505	0.94921
s__Bifidobacterium_pseudolongum	28.86881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.8515	0.0	28.17402	0.0	0.0	15.77461	0.0	0.0	0.0	0.0	0.0
s__Bilophila_unclassified	0.0	0.0	0.08435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0205	0.85998	0.0	0.0	0.30229	0.1143	0.03335	0.49683
s__Bilophila_wadsworthia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01589	0.0	0.0	0.01683	0.00831	0.0	0.08733
s__Blautia_hydrogenotrophica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00985	0.0	0.0	0.0
s__Brachyspira_unclassified	0.01291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02035	0.0	0.01174	0.0	0.0	0.02208	0.0	0.0	0.0	0.0	0.0
s__Burkholderiales_bacterium_1_1_47	0.99146	0.0	0.0	0.0	0.1413	0.0	0.0	0.0	0.73732	0.0	0.94012	0.0	0.0	0.51805	0.0	0.00553	0.03427	0.27266	0.72751
s__Butyrivibrio_crossotus	0.0	0.0	0.12054	0.0	0.0	0.40768	0.3304	0.0	0.31485	0.08771	0.0	0.0	0.0	0.0	0.19368	0.0	0.0	0.0	0.0
s__Butyrivibrio_unclassified	0.2298	9.18365	0.0	0.0	3.40699	12.1156	0.0	0.0	0.0	0.0	0.63686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__C2likevirus_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00112
s__Catenibacterium_mitsuokai	0.0	0.18618	1.18925	0.0	0.0	0.0	0.40808	0.0	0.0	0.14971	0.0	3.23109	0.0	0.0	0.18967	0.0	0.0	0.0	0.0
s__Clostridiaceae_bacterium_JC118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00491	0.00587	0.0	0.04593
s__Clostridiales_bacterium_1_7_47FAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02914	0.0	0.00541	0.00291
s__Clostridium_asparagiforme	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03241	0.00241	0.0	0.05199
s__Clostridium_bartlettii	0.0	0.0	0.04671	0.0	0.95246	0.0	0.00568	0.0	0.0	0.03838	0.0	0.02741	0.12121	0.00609	0.09235	0.0	0.02459	0.0	0.0
s__Clostridium_bolteae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04889	0.01644	0.01302	0.13537
s__Clostridium_citroniae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02985	0.00913	0.00368	0.0166
s__Clostridium_clostridioforme	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04737	0.0	0.0	0.02115
s__Clostridium_hathewayi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00546	0.00887	0.00115	0.04474
s__Clostridium_hylemonae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022
s__Clostridium_leptum	0.0	0.0	0.0134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06368	0.0	0.16035	0.0692
s__Clostridium_nexile	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02064	0.0	0.0
s__Clostridium_ramosum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00037	0.0	0.0	0.0
s__Clostridium_scindens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00709	0.0	0.0	0.0
s__Clostridium_symbiosum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02334	0.03409	0.01582	0.0092
s__Collinsella_aerofaciens	0.0	0.0	0.34456	0.13126	0.17416	0.14407	0.5258	0.15295	0.0	0.88706	0.0	0.13948	0.33096	0.0	0.62983	0.12674	0.59451	0.0732	0.0
s__Collinsella_unclassified	0.04738	0.04915	0.0	0.01619	0.0	0.01295	0.0	0.0	0.11217	0.0	0.0	0.0	0.0	0.11056	0.0	0.0	0.0	0.0	0.0
s__Coprobacillus_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02809	0.0	0.0	0.00931
s__Coprobacter_fastidiosus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18772	0.0	0.01207	0.0
s__Coprococcus_catus	0.18799	0.07186	0.54342	0.16178	0.07918	0.17243	0.29262	0.34874	0.32391	0.37342	0.06606	0.14187	0.85197	0.16057	0.4198	0.0	0.06431	0.02493	0.0
s__Coprococcus_comes	0.06816	0.0	0.80798	0.04043	0.05118	0.46823	0.43233	0.51557	0.23403	0.29096	0.01042	0.35435	0.0	0.0688	0.84065	0.0	0.03315	0.15945	0.0
s__Coprococcus_eutactus	0.0	0.0	0.0	0.0225	0.0	0.0	0.0	0.0	0.0	0.03671	0.0	0.0	0.0	0.0	0.0	0.0	3.31253	0.77892	0.0
s__Coprococcus_sp_ART55_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.60095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Dasheen_mosaic_virus	0.0	0.0	0.02423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Desulfovibrio_desulfuricans	0.0	0.0	0.0	0.0	0.0	0.0	1.73573	0.07108	0.0	0.16195	0.0	1.36972	0.18886	0.0	3.10444	0.0	0.0	0.14785	0.0
s__Desulfovibrio_piger	1.77583	0.11578	0.0	0.18404	0.0	0.05571	0.0	0.34786	0.0	0.0	1.15347	0.38801	0.29242	0.08825	0.0	0.0	0.0	0.0	0.0
s__Dialister_invisus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.76223	0.0	0.0
s__Dorea_formicigenerans	0.14332	0.10689	0.57353	0.0	0.0	0.0	0.11298	0.12016	0.25719	0.10883	0.02028	0.07551	0.0	0.08136	0.23468	0.0	0.06003	0.15834	0.27076
s__Dorea_longicatena	0.10352	0.1304	1.16177	0.0	0.0	0.08934	0.85106	0.32354	0.29725	0.02213	0.01794	0.15492	0.03699	0.57715	0.75177	0.0	0.17131	0.12109	1.95363
s__Dorea_unclassified	0.12891	0.60946	0.0	0.85892	1.28595	1.00347	0.89187	1.08452	0.0	1.59938	0.21036	0.53589	0.46099	0.0	1.84093	0.03054	0.0	0.0	0.0
s__Eggerthella_lenta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00343	0.00034	0.03012	0.1638
s__Eggerthella_sp_1_3_56FAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38601
s__Eggerthella_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04505	0.05971	0.11297	0.51981
s__Enterococcus_hirae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterorhabdus_caecimuris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01653
s__Erysipelotrichaceae_bacterium_21_3	0.01612	0.0	0.0	0.0	0.0	0.0675	0.01882	0.0	0.0	0.35134	0.00291	0.0	0.96811	0.0	0.05258	0.0006	0.0	0.0	0.00046
s__Erysipelotrichaceae_bacterium_5_2_54FAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00657	0.01837
s__Erysipelotrichaceae_bacterium_6_1_45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00156	0.0	0.00115	0.00115
s__Escherichia_coli	0.0	0.07163	4.21831	0.0	0.0	0.0	0.84438	0.0	0.0	3.61106	0.02332	0.0	0.35195	0.0	0.73601	0.0	0.00523	0.0	0.0
s__Escherichia_unclassified	0.0562	0.0	1.25508	0.06394	0.0	0.0	0.187	0.0	0.0	0.68701	0.05534	0.0	0.37336	0.0	0.0	0.0	0.00387	0.0	0.00627
s__Eubacterium_biforme	0.0	0.31346	6.34338	1.59059	0.70175	1.16458	2.43312	1.56275	0.1148	3.57625	0.0	1.03045	0.89209	0.08858	4.63082	0.0	0.0	0.0	0.0
s__Eubacterium_dolichum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00472	0.0	0.0	0.02939
s__Eubacterium_eligens	0.5322	0.54255	1.51468	17.74389	3.37372	1.62244	3.19251	1.6046	0.60102	0.6222	0.54048	0.89214	1.9942	1.15853	11.12254	0.0	0.24166	1.51286	0.0
s__Eubacterium_hallii	0.0	0.0	0.71666	0.28791	0.0	0.13487	0.43356	0.65555	0.0	0.57645	0.0	0.2614	0.0	0.0	0.52079	0.01094	0.05179	0.06729	0.0
s__Eubacterium_ramulus	0.0	0.0	0.21731	0.01162	0.0	0.18827	0.10686	0.01082	0.0	0.10054	0.0	0.00362	0.0	0.0	0.07612	0.0	0.00751	0.10866	0.0
s__Eubacterium_rectale	0.02924	0.0	4.58136	0.38988	0.26421	0.2772	1.27777	0.0	0.82164	0.0568	0.08539	0.3223	0.88131	2.55069	2.63392	0.0	20.93203	15.80789	15.74672
s__Eubacterium_siraeum	0.65564	3.0758	4.4182	5.86142	5.46626	2.81371	5.87131	1.26934	0.0442	5.72482	0.59283	2.87786	0.04395	0.03105	1.79926	0.25596	0.00164	1.24851	0.0
s__Eubacterium_sp_3_1_31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45042	0.0	0.0	0.23241
s__Eubacterium_ventriosum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00764	0.0
s__Faecalibacterium_prausnitzii	1.42771	5.4878	8.12276	10.47321	6.63136	7.77937	12.01056	9.72757	15.3663	11.30528	5.19969	4.04323	1.02745	13.64417	12.50582	11.91797	8.29372	8.62465	7.24394
s__Flavonifractor_plautii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16461	0.03761	0.0	0.01673
s__Fusarium_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06608	0.07553	0.06981	0.06363
s__Gordonibacter_pamelaeae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02566	0.00245	0.03526	0.04201
s__Haemophilus_parainfluenzae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20728	0.0	0.0
s__Helicobacter_cinaedi	0.0	0.0	0.0	0.0	0.0	0.0	0.76606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25026	0.0	0.0	0.0	0.0
s__Holdemania_filiformis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03956	0.0145	0.03863
s__Holdemania_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10643	0.0	0.03716	0.005
s__Klebsiella_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.02602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03402	0.0	0.0	0.0	0.0
s__Lachnospiraceae_bacterium_1_1_57FAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01439	0.0
s__Lachnospiraceae_bacterium_1_4_56FAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02878	0.0	0.0	0.0724
s__Lachnospiraceae_bacterium_2_1_58FAA	0.0	0.0	0.0	0.0	0.0	0.02476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0433	0.00394	0.00425	0.0
s__Lachnospiraceae_bacterium_3_1_46FAA	0.0	0.0	0.16374	0.0	0.0	0.0	0.0	0.0	0.09674	0.0	0.02861	0.0	0.0	0.0	0.0	0.19105	0.77205	0.13877	0.05342
s__Lachnospiraceae_bacterium_5_1_57FAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0404	0.0	0.0	0.00656
s__Lachnospiraceae_bacterium_5_1_63FAA	0.0	0.0	0.0	0.0	0.0	0.0	0.01029	0.00835	0.0	0.0	0.0	0.00852	0.0	0.0	0.0	0.00618	0.01922	0.06056	0.039
s__Lachnospiraceae_bacterium_6_1_63FAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047	0.0	0.0	0.00083
s__Lachnospiraceae_bacterium_7_1_58FAA	0.37768	0.0	0.0	0.02162	0.0	0.02208	0.0	0.0197	0.0	0.0	0.10866	0.024	0.16341	0.0763	0.0	0.15329	0.01566	0.21238	0.14126
s__Lachnospiraceae_bacterium_9_1_43BFAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00023	0.0	0.0	0.009
s__Lactobacillus_fermentum	0.0	0.0	0.0	0.0	0.16192	0.0	0.0	0.0	0.04527	0.0151	0.0	0.03442	0.0	0.00199	0.0	0.0	0.0	0.0	0.0
s__Megasphaera_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.40355
s__Methanobrevibacter_smithii	0.12422	4.04768	6.85615	2.97706	0.023	14.13933	0.0	1.67174	0.04752	0.21181	0.10272	7.80004	19.76668	0.20447	0.0	0.0	0.0	0.36405	0.0
s__Methanobrevibacter_sp_AbM4	0.0	0.0	0.0	0.0	3.72016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Methanobrevibacter_unclassified	7.54696	5.60709	3.3946	4.55779	3.62296	6.88937	0.2833	4.12402	7.63851	14.55357	7.21225	4.5792	16.09927	6.2124	0.37156	0.0	0.0	0.13538	0.0
s__Methanosphaera_stadtmanae	0.21291	0.32642	1.7589	0.94986	0.2624	0.58498	0.01071	0.79375	0.0	2.02595	0.12094	3.52083	0.0	0.0272	0.0	0.0	0.0	0.0	0.0
s__Mitsuokella_unclassified	0.08741	0.53917	0.0	0.1989	0.55721	0.50498	0.0	0.09081	0.0	0.0	0.0	0.18299	0.0	0.04758	0.0	0.0	0.0	0.0	0.0
s__Odoribacter_splanchnicus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9776	0.50695	1.00805	0.24487
s__Olsenella_unclassified	0.0515	0.0	0.03405	0.05847	0.01126	0.0	0.0	0.02237	0.2098	0.0	0.04424	0.15438	0.0	0.19009	0.0	0.0	0.0	0.0	0.0
s__Oscillibacter_sp_KLE_1745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1863	0.0	0.0
s__Oscillibacter_unclassified	0.08308	0.4631	0.64732	0.24433	0.57875	0.45974	0.11605	0.21569	0.06065	0.37776	0.10489	0.05369	0.14585	0.05305	0.30964	1.55499	0.96394	0.67917	1.24047
s__Oxalobacter_formigenes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1686	0.03956	0.0	0.0	0.0	0.0	0.0	0.0	0.02122	0.0
s__Parabacteroides_distasonis	0.01623	0.0	0.03854	0.0	0.0	0.0	0.00281	0.0	0.0	0.0	0.10759	0.0	0.0	0.0	0.0	2.27159	1.1921	0.0	0.0
s__Parabacteroides_goldsteinii	0.01418	0.0	0.0	0.0	0.0	0.0	1.7111	0.0	0.0	0.0	0.02747	0.0	0.0	0.0	2.46793	0.0	0.0	0.0	0.0
s__Parabacteroides_merdae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.74023	1.25898	0.0	6.37331
s__Parabacteroides_unclassified	2.10768	0.0	0.82038	0.1164	0.41736	0.34623	0.0	0.44382	0.57163	0.37172	2.78584	0.21125	1.59023	0.64593	0.0	0.0	0.0	0.59194	0.0
s__Parasutterella_excrementihominis	2.62502	0.0	0.0	0.0	0.01462	0.0	0.0	0.0	1.93093	0.0	3.60936	0.0	0.0	1.06531	0.0	0.00626	0.00562	0.45154	0.46
s__Peptostreptococcaceae_noname_unclassified	0.0	0.0	1.22768	0.0	2.32005	0.0	0.34324	0.0	0.11673	0.49943	0.0	0.0	0.24686	0.08706	1.18992	0.0	0.08624	0.0	0.0
s__Phascolarctobacterium_succinatutens	18.62708	20.79548	12.372	11.16879	20.70025	2.90287	21.48821	19.50745	18.92566	6.30106	15.1151	26.94564	2.94904	18.82479	26.89065	0.0	0.0	0.0	0.0
s__Porcine_stool_associated_circular_virus_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Porphyromonas_bennonis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09615	0.0	0.0	0.13152	0.0	0.0	0.0	0.0	0.0	0.0
